POINTID,NUTS_0,Lucas2009,Lucas2012,Lucas2015,Lucas2018,Coarse,Clay,Sand,Silt,PSDAvailable,TextureFromSurvey,USDA,ISSS
36962122,ES,NO,NO,YES,YES,33,16,38,46,Yes,2015,loam,silty loam
36943334,UK,NO,NO,NO,YES,,,,,No,,,
36943226,UK,YES,NO,YES,NO,4,54,2,44,Yes,2009,silty clay,silty clay
36942938,FR,YES,NO,YES,YES,31,7,86,8,Yes,2009,loamy sand,loamy sand
36942830,FR,YES,NO,YES,NO,6,16,7,77,Yes,2009,silt loam,silty loam
36942704,FR,YES,NO,YES,YES,8,14,8,78,Yes,2009,silt loam,silty loam
36942632,FR,YES,NO,YES,YES,27,28,42,30,Yes,2009,clay loam,silty clay loam
36942542,FR,YES,NO,NO,NO,22,12,69,19,Yes,2009,sandy loam,loam
36942470,FR,YES,NO,YES,NO,8,23,18,59,Yes,2009,silt loam,silty loam
36942416,FR,YES,NO,NO,NO,9,15,69,16,Yes,2009,sandy loam,loam
36942372,FR,YES,NO,YES,NO,20,16,56,27,Yes,2009,sandy loam,silty loam
36942362,FR,YES,NO,YES,YES,5,14,49,37,Yes,2009,loam,silty loam
36942300,FR,YES,NO,YES,NO,12,28,20,51,Yes,2009,silty clay loam,silty clay loam
36942192,FR,NO,NO,YES,NO,32,18,40,42,Yes,2015,loam,silty loam
36942188,FR,NO,NO,YES,NO,37,15,44,41,Yes,2015,loam,silty loam
36942152,ES,NO,NO,YES,YES,17,27,37,36,Yes,2015,loam,silty clay loam
36923356,UK,NO,NO,NO,YES,,,,,No,,,
36923324,UK,NO,NO,NO,YES,,,,,No,,,
36923312,UK,YES,NO,NO,NO,6,5,87,7,Yes,2009,loamy sand,loamy sand
36922970,FR,YES,NO,YES,NO,17,8,13,78,Yes,2009,silt loam,silty loam
36922960,FR,YES,NO,YES,YES,6,10,4,86,Yes,2009,silt,silty loam
36922952,FR,YES,NO,YES,YES,14,10,11,79,Yes,2009,silt loam,silty loam
36922946,FR,YES,NO,YES,YES,9,16,12,73,Yes,2009,silt loam,silty loam
36922880,FR,YES,NO,YES,NO,35,38,16,45,Yes,2009,silty clay loam,silty clay loam
36922844,FR,YES,NO,YES,YES,17,32,7,60,Yes,2009,silty clay loam,silty clay loam
36922820,FR,YES,NO,YES,YES,6,26,4,70,Yes,2009,silt loam,silty loam
36922798,FR,YES,NO,YES,YES,1,33,2,66,Yes,2009,silty clay loam,silty clay loam
36922664,FR,YES,NO,YES,NO,2,15,72,14,Yes,2009,sandy loam,loam
36922448,FR,YES,NO,YES,YES,15,11,67,22,Yes,2009,sandy loam,loamy sand
36922168,ES,NO,NO,YES,YES,38,24,22,54,Yes,2015,silt loam,silty loam
36903340,UK,NO,NO,NO,YES,,,,,No,,,
36903286,UK,NO,NO,NO,YES,,,,,No,,,
36903268,UK,YES,NO,YES,NO,15,34,32,34,Yes,2009,clay loam,silty clay loam
36903154,UK,YES,NO,YES,YES,13,41,13,46,Yes,2009,silty clay,silty clay
36902692,FR,YES,NO,YES,YES,30,34,14,52,Yes,2009,silty clay loam,silty clay loam
36902560,FR,YES,NO,YES,YES,16,9,75,16,Yes,2009,sandy loam,loamy sand
36902530,FR,YES,NO,YES,NO,27,12,65,23,Yes,2009,sandy loam,loam
36902462,FR,YES,NO,NO,NO,28,9,74,17,Yes,2009,sandy loam,loamy sand
36883306,UK,YES,NO,YES,YES,6,6,88,6,Yes,2009,sand,loamy sand
36883144,UK,YES,NO,YES,YES,6,50,4,45,Yes,2009,silty clay,silty clay
36883000,FR,YES,NO,YES,NO,33,13,24,63,Yes,2009,silt loam,silty loam
36882978,FR,YES,NO,YES,NO,9,16,37,48,Yes,2009,loam,silty loam
36882964,FR,YES,NO,YES,YES,3,14,7,79,Yes,2009,silt loam,silty loam
